Name,Team,Season,Distance,Good,Stadium,StadiumTeam
Cary Blanchard,ARI,2000,19,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,54,1,Sun Devil Stadium,ARZ
Tim Seder,DAL,2000,44,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,35,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,51,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,31,1,Sun Devil Stadium,ARZ
Ryan Longwell,GB,2000,38,1,Sun Devil Stadium,ARZ
Ryan Longwell,GB,2000,47,1,Sun Devil Stadium,ARZ
Ryan Longwell,GB,2000,48,1,Sun Devil Stadium,ARZ
Ryan Longwell,GB,2000,37,1,Sun Devil Stadium,ARZ
Ryan Longwell,GB,2000,22,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,36,1,Sun Devil Stadium,ARZ
Phil Dawson,CLE,2000,42,0,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,47,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,28,1,Sun Devil Stadium,ARZ
David Akers,PHI,2000,31,1,Sun Devil Stadium,ARZ
David Akers,PHI,2000,29,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,42,0,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,34,1,Sun Devil Stadium,ARZ
Doug Brien,NO,2000,45,0,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,30,0,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,30,1,Sun Devil Stadium,ARZ
Kris Heppner,WAS,2000,35,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,56,0,Sun Devil Stadium,ARZ
Kris Heppner,WAS,2000,28,1,Sun Devil Stadium,ARZ
Kris Heppner,WAS,2000,29,1,Sun Devil Stadium,ARZ
Kris Heppner,WAS,2000,51,0,Sun Devil Stadium,ARZ
Kris Heppner,WAS,2000,33,0,Sun Devil Stadium,ARZ
Brad Daluiso,NYG,2000,25,1,Sun Devil Stadium,ARZ
Matt Stover,BAL,2000,42,1,Sun Devil Stadium,ARZ
Cary Blanchard,ARI,2000,46,0,Sun Devil Stadium,ARZ
Matt Stover,BAL,2000,42,1,Sun Devil Stadium,ARZ
Morten Andersen,ATL,2000,43,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,44,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,24,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,44,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,48,1,Georgia Dome,ATL
Jeff Wilkins,STL,2000,30,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,37,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,45,1,Georgia Dome,ATL
Jeff Wilkins,STL,2000,30,1,Georgia Dome,ATL
Jaret Holmes,NYG,2000,34,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,42,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,45,0,Georgia Dome,ATL
Jaret Holmes,NYG,2000,27,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,28,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,50,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,33,0,Georgia Dome,ATL
Morten Andersen,ATL,2000,44,1,Georgia Dome,ATL
Joe Nedney,CAR,2000,35,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,35,1,Georgia Dome,ATL
Joe Nedney,CAR,2000,48,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,46,0,Georgia Dome,ATL
Joe Nedney,CAR,2000,25,1,Georgia Dome,ATL
Joe Nedney,CAR,2000,24,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,31,1,Georgia Dome,ATL
Morten Andersen,ATL,2000,42,0,Georgia Dome,ATL
Martin Gramatica,TB,2000,51,1,Georgia Dome,ATL
Martin Gramatica,TB,2000,34,1,Georgia Dome,ATL
Rian Lindell,SEA,2000,46,1,Georgia Dome,ATL
