pid,punter,pgro,pnet,ptb,pr,pry,pfc
22,CS-3700,39,39,0,TD-2500,0,1
39,CS-3700,33,33,0,TD-2500,0,1
57,CS-3700,49,34,0,TD-2500,15,0
70,CS-3700,39,33,0,TD-2500,6,0
119,DS-4900,44,44,0,KW-1500,0,0
131,CS-3700,36,36,0,,0,0
136,DS-4900,51,31,1,,0,0
175,SL-0600,41,21,1,,0,0
179,CG-0300,66,57,0,RB-1100,9,0
183,SL-0600,46,46,0,DN-1400,0,1
191,CG-0300,54,54,0,,0,0
213,CG-0300,49,41,0,RB-1100,8,0
218,SL-0600,30,30,0,,0,0
267,CG-0300,39,39,0,RB-1100,0,0
282,CG-0300,46,46,0,,0,0
332,MK-1100,31,31,0,,0,0
338,SL-0100,41,21,1,,0,0
342,MK-1100,51,38,0,BM-3300,13,0
362,MK-1100,46,46,0,BM-3300,0,1
380,MK-1100,47,35,0,BM-3300,12,0
393,SL-0100,47,45,0,JG-0500,2,0
422,MK-1100,43,38,0,BM-3300,5,0
437,MK-1100,47,45,0,BM-3300,2,0
473,MK-1100,47,47,0,BM-3300,0,1
488,JB-3500,35,35,0,DW-0800,0,1
521,JB-3500,39,39,0,DW-0800,0,1
532,TT-1700,45,2,0,AR-1700,43,0
547,TT-1700,43,43,0,,0,0
551,JB-3500,30,30,0,,0,0
606,TT-1700,57,37,1,,0,0
612,JB-3500,41,41,0,DW-0800,0,0
654,TS-0500,52,44,0,PW-1100,8,0
664,TS-0500,52,35,0,PW-1100,17,0
673,TS-0500,46,46,0,PW-1100,0,1
699,TS-0500,35,15,1,,0,0
705,HS-0200,53,36,0,LP-0100,17,0
717,HS-0200,56,36,1,,0,0
723,TS-0500,44,44,0,,0,0
734,HS-0200,55,35,1,,0,0
738,TS-0500,41,26,0,PW-1100,15,0
762,HS-0200,62,61,0,LP-0100,1,0
766,TS-0500,52,12,0,PW-1100,40,0
790,TS-0500,54,34,1,,0,0
870,MT-2300,44,24,1,,0,0
894,JF-0800,33,25,0,BK-0500,8,0
900,JF-0800,32,22,0,BK-0500,10,0
904,MT-2300,19,19,0,,0,0
908,JF-0800,52,57,0,BK-0500,-5,0
912,MT-2300,56,53,0,CR-1500,3,0
917,JF-0800,45,45,0,,0,0
924,MT-2300,47,7,0,CR-1500,40,0
933,MT-2300,24,22,0,CR-1500,2,0
