pid,blk,brcv,type
1435,JJ-4100,TG-1500,FG
2841,OR-0200,,FG
3703,GW-1200,,XP
4912,TH-0300,,FG
4970,EW-1050,BK-1100,PUNT
5100,MW-1100,RP-1000,FG
5190,MB-4100,BM-0700,FG
5430,AS-1200,RB-0700,PUNT
6268,SB-2000,,FG
6399,RJ-2400,,PUNT
6860,KM-2400,DR-2700,FG
7667,MW-1100,JJ-2300,FG
10501,DD-0100,GD-0100,PUNT
11276,DT-0400,,FG
11313,WS-0100,,FG
12376,JT-2700,,FG
13012,JG-1300,LF-0400,FG
13498,BB-3200,CS-3700,PUNT
13645,AD-1500,EA-0200,FG
13951,WS-0100,DA-0100,FG
16347,NW-0300,RR-0500,PUNT
16423,MJ-2000,TJ-0500,FG
17626,BW-0200,MC-1600,PUNT
19219,SB-2000,,FG
19540,GE-0200,PS-0700,FG
20712,AD-1500,,FG
21104,JM-3700,DS-4900,PUNT
25764,IG-0200,IG-0200,PUNT
26556,PW-0900,HJ-0100,FG
27384,LF-0600,CS-0800,PUNT
35518,PS-0200,RH-2000,PUNT
35808,BB-3200,,PUNT
36171,CE-0100,CE-0100,FG
36253,CE-0100,LW-1000,FG
36295,SH-0600,SH-0600,PUNT
36427,JW-3700,DE-1200,FG
37700,BN-0500,,FG
39415,BM-0200,TR-1200,PUNT
41597,JB-4500,JB-4500,PUNT
41667,KW-0600,,FG
41671,CC-3500,,PUNT
41685,CC-3500,,PUNT
41726,KW-0600,AM-2100,FG
43588,SG-0600,,XP
44622,LL-0800,,XP
48836,FA-0100,,XP
48849,NK-0300,IR-0300,PUNT
48979,DS-5000,,FG
49354,DM-2600,DM-2600,PUNT
50434,WT-0100,,FG
50447,CW-3700,,FG
52383,MR-0800,,PUNT
52696,EE-0300,,XP
53074,AB-0400,AB-0400,PUNT
54540,HF-0200,DM-2600,FG
54633,BM-3200,LM-2000,FG
54658,TJ-2500,JC-2600,FG
55013,CW-2100,,FG
56235,JH-3300,CH-2200,PUNT
56388,JW-3900,,FG
57338,EE-0300,,FG
58565,BS-1200,BS-1200,FG
59256,TD-0600,TD-0600,PUNT
59494,JP-1100,,XP
59684,SR-1000,,FG
59780,SR-1000,,FG
60332,AD-1500,,FG
66657,RS-0900,TG-1500,FG
68445,RB-0700,TY-0200,PUNT
69243,FW-0200,,FG
69929,AS-0400,JB-0500,FG
70114,MS-5500,,FG
76193,DB-6000,,XP
77533,TY-0200,RA-0100,PUNT
78165,TJ-0400,JW-4600,PUNT
78863,KM-2400,,FG
80135,JW-3900,MG-1500,FG
81130,CH-2200,JG-1600,PUNT
81457,GC-0100,JB-3000,PUNT
82372,AD-1500,AD-1500,FG
82651,DS-5000,,XP
82666,CH-4800,,FG
83681,BM-3200,TB-3300,FG
84081,MR-1800,,FG
84355,JG-1600,,PUNT
85398,MS-5500,,FG
85906,DH-4100,TT-1700,FG
86923,EW-1800,SR-0600,FG
87017,SR-1000,,FG
89081,CF-1400,TK-0500,PUNT
89439,CP-1900,,PUNT
91941,JW-3900,,FG
93226,KB-1000,JF-0500,PUNT
93286,AM-1600,TP-1200,FG
93837,ER-0100,KK-0400,PUNT
94709,SB-1300,,PUNT
94747,EE-0300,,FG
95177,TJ-2500,,XP
96212,MC-2300,,FG
97457,LA-0800,GC-0100,PUNT
97854,AH-2700,,FG
99715,MB-1200,GC-0100,PUNT
99768,KB-2600,KB-2600,PUNT
100124,LJ-1200,KM-0700,FG
101777,EW-0600,,PUNT
101885,DR-0500,EW-0300,FG
102180,BH-1700,HG-0200,PUNT
102679,CB-4300,,FG
104199,JA-2200,,FG
104722,AD-1200,,FG
104729,JE-1100,,XP
105851,SG-0700,KM-0300,PUNT
106518,EK-0200,,FG
106883,MS-4800,,XP
106973,BF-0400,GM-0400,FG
107003,JF-0500,JF-0900,FG
108122,JH-0300,,XP
