pid,fum,frcv,fry,forc
6,CG-0400,,0,AA-1200
13,JA-1600,,0,LS-0300
36,GC-0500,GC-0500,0,MC-0600
141,JR-2000,JR-2000,0,KB-2100
155,JA-1600,KN-0400,0,PP-1100
200,SM-0100,KM-0900,0,DH-3600
251,AS-0800,LM-0500,3,TS-1800
512,AG-1600,SE-0400,0,RL-1500
518,BF-0100,ED-0600,0,SE-0400
565,BM-3100,BM-3100,0,BC-2700
660,EJ-0200,JH-2600,0,MP-0600
781,MC-1600,MC-1600,0,
833,JK-1500,JK-1500,0,
853,JK-1500,JT-0900,0,
896,LS-1100,,0,RT-1200
924,CR-1500,TG-0200,0,BW-0300
993,MR-1400,RG-2000,0,EM-0800
1081,DC-4400,DC-4400,0,
1083,RM-5000,,0,JA-3100
1095,MB-2800,MB-2800,0,
1122,KW-1100,KS-0400,0,LW-1000
1230,KF-0200,JL-3400,8,DB-4200
1232,MA-0600,MA-0600,0,CS-2100
1240,DB-2600,DB-2600,0,
1300,JB-3800,JB-3800,0,
1341,WJ-0200,MW-0300,0,SB-1000
1395,RW-2600,JH-5200,0,SK-0800
1426,RW-2600,JD-1775,0,JD-1775
1429,SI-0100,CO-0800,1,DH-4100
1444,JJ-2300,JJ-2300,0,
1445,KP-0900,KP-0900,0,MW-0300
1507,TB-0400,EM-0900,0,
1522,JP-3200,MB-0700,0,
1529,GC-0800,AW-1300,0,AW-1300
1550,KC-2000,KC-2000,0,
1593,CD-1600,JP-3200,0,
1643,DG-1800,CB-2600,0,
1713,RL-0300,RL-0300,0,
1743,RL-0300,RU-0100,8,LJ-1200
1778,RG-0200,RG-0200,0,
1794,HP-0100,AB-0800,0,CH-1800
1808,KG-0800,SA-0200,0,RB-4700
1921,KS-2300,AF-0100,0,
2047,SB-0700,NK-0300,4,BS-2800
2253,SM-2400,FM-0400,0,PW-0900
2352,DO-0200,DO-0200,0,
2360,TN-0100,BG-1900,0,
2446,CH-4400,ZW-0200,0,JS-1900
2474,CH-4400,DS-4000,0,RB-4700
2507,TB-0200,HS-0300,0,RW-4300
2511,MB-4500,MB-4500,0,
2578,SM-0100,JS-1900,0,JS-1900
2658,BF-0100,WH-0600,0,
2689,BF-0100,PH-0100,29,MW-1500
2712,AR-1700,EA-0100,19,JF-2700
2766,TD-0800,HJ-0100,14,DP-1900
2820,BB-1700,CY-0100,0,WR-0200
2828,CY-0100,TR-0700,0,TS-0100
2867,TC-2600,SZ-0100,0,BS-2000
2870,TM-0100,TM-0100,0,TP-2100
2969,TD-2500,IG-0200,0,DS-3000
2976,CC-1400,AR-0300,0,TP-2300
3018,CC-1400,BR-1300,0,
3096,SJ-0400,BK-1100,0,BJ-1000
3111,DJ-1800,MT-0100,38,HH-0100
3243,BJ-1400,SD-0400,0,AA-0500
3292,RD-1900,RD-1900,0,TP-1900
3363,KD-1000,GB-0500,0,JH-2000
3482,DC-4400,DC-4400,0,
3499,DC-4400,JT-0900,0,TA-0900
3573,RM-5000,RS-2000,0,SM-0200
3591,KC-2000,AT-0900,0,HD-0400
3799,JB-3800,OR-0300,0,JW-3700
3814,JB-3800,JB-3800,0,
3824,RJ-0700,RJ-0700,0,
3876,RL-0300,TG-0400,0,FW-0500
3943,TO-0200,,0,ED-0100
3972,MM-5500,,0,ZB-0300
4135,KW-0500,MF-0300,0,
4218,JK-1500,KC-0500,2,TC-2200
4258,GM-1100,GM-1100,0,
4263,CM-2200,SQ-0100,5,RB-0700
4316,DW-2500,RB-0700,24,DA-0100
4429,SM-2400,DW-3150,9,
4467,EG-0600,EG-0600,0,KH-2200
4593,TJ-2700,GE-0200,0,CH-2500
4595,ES-1000,CS-1200,0,KL-0500
