uid,gid,player,pat,fgs,fgm,fgl,fp,game,seas,year,team
1,1,WR-0500,4,0,0,0,4,1,3,2000,SF
2,1,MA-0700,3,1,4,0,22,1,19,2000,ATL
3,2,MH-3100,3,1,0,1,11,1,6,2000,JAC
4,2,PD-0200,1,0,0,0,1,1,3,2000,CLE
5,3,DA-0300,5,2,0,0,11,1,3,2000,PHI
6,3,TS-1100,0,2,0,0,6,1,1,2000,DAL
7,4,RL-1300,1,0,3,0,13,1,4,2000,GB
8,4,JH-0500,2,2,0,0,8,1,4,2000,NYJ
9,5,MV-0100,3,1,1,0,10,1,3,2000,IND
10,5,PS-0900,2,0,0,0,2,1,12,2000,KC
11,6,OM-0100,2,2,1,0,12,1,4,2000,MIA
12,6,KH-1500,0,0,0,0,0,1,1,2000,SEA
13,7,GA-0300,3,2,1,0,13,1,19,2000,MIN
14,7,PE-0100,3,1,1,0,10,1,1,2000,CHI
15,8,AV-0400,1,1,0,0,4,1,5,2000,NE
16,8,MG-1200,3,0,0,0,3,1,2,2000,TB
17,9,DB-3900,1,0,1,0,5,1,7,2000,NO
18,9,JH-0900,0,2,0,0,6,1,9,2000,DET
19,10,BD-0100,3,0,0,0,3,1,10,2000,NYG
20,10,CB-1700,1,1,0,0,4,1,9,2000,ARI
21,11,SJ-0300,1,0,0,0,1,1,1,2000,OAK
22,12,MS-5200,1,3,0,0,10,1,11,2000,BAL
23,12,KB-2300,0,0,0,0,0,1,2,2000,PIT
24,13,BC-2300,2,2,0,0,8,1,3,2000,WAS
25,13,RC-2900,2,1,0,0,5,1,4,2000,CAR
26,14,SC-0700,1,1,2,0,12,1,11,2000,BUF
27,14,AD-0800,1,2,0,0,7,1,17,2000,TEN
28,14,CH-2900,0,0,0,0,0,1,7,2000,TEN
29,15,JE-0200,3,3,0,0,12,1,8,2000,DEN
30,15,JW-3300,5,0,0,0,5,1,7,2000,STL
31,16,MH-3100,3,2,3,0,21,2,6,2000,JAC
32,16,MS-5200,4,0,1,0,8,2,11,2000,BAL
33,17,SC-0700,2,1,1,0,9,2,11,2000,BUF
34,17,RL-1300,1,1,0,0,4,2,4,2000,GB
35,18,PD-0200,3,1,0,0,6,2,3,2000,CLE
36,18,NR-0100,1,0,0,0,1,1,1,2000,CIN
37,19,JE-0200,4,1,0,1,12,2,8,2000,DEN
38,19,MA-0700,2,0,0,0,2,2,19,2000,ATL
39,20,JH-0900,0,3,1,1,18,2,9,2000,DET
40,20,BC-2300,1,1,0,0,4,2,3,2000,WAS
