stadium,link
3COM Park,Candlestick Park
Adelphia Coliseum,Nissan Stadium
Alltel Stadium,EverBank Field
Arrowhead Stadium,Arrowhead Stadium
AT&T Stadium,AT&T Stadium
Azteca Stadium,Azteca Stadium
Bank of America Stadium,Bank of America Stadium
Candlestick Park,Candlestick Park
Cardinals Stadium,University of Phoenix Stadium
CenturyLink Field,CenturyLink Field
Cleveland Browns Stadium,FirstEnergy Stadium
Cowboys Stadium,AT&T Stadium
Dolphins Stadium,Hard Rock Stadium
Edward Jones Dome,Edward Jones Dome
Ericsson Stadium,Bank of America Stadium
Estadio Azteca,Aztec Stadium
EverBank Field,EverBank Field
FedEx Field,FedEx Field
FirstEnergy Stadium,FirstEnergy Stadium
Ford Field,Ford Field
Foxboro Stadium,Foxboro Stadium
Georgia Dome,Georgia Dome
Giants Stadium,Giants Stadium
Gillette Stadium,Gillette Stadium
Hard Rock Stadium,Hard Rock Stadium
Heinz Field,Heinz Field
Husky Stadium,Husky Stadium
Invesco Field at Mile High,Sports Authority Field at Mile High
Jacksonville Municipal Stadium,EverBank Field
Lambeau Field,Lambeau Field
Land Shark Stadium,Hard Rock Stadium
Levi's Stadium,Levi's Stadium
Lincoln Financial Field,Lincoln Financial Field
Los Angeles Memorial Coliseum,Los Angeles Memorial Coliseum
Louisiana Superdome,Mercedes-Benz Superdome
LP Field,Nissan Stadium
Lucas Oil Stadium,Lucas Oil Stadium
M&T Bank Stadium,M&T Bank Stadium
Mall of America Field at HHH Metrodome,Mall of America Field at HHH Metrodome
McAfee Coliseum,Oakland-Alameda County Coliseum
Memorial Stadium,Memorial Stadium
Mercedes-Benz Stadium,Mercedes-Benz Stadium
Mercedes-Benz Superdome,Mercedes-Benz Superdome
MetLife Stadium,MetLife Stadium
Metrodome,Mall of America Field at HHH Metrodome
Mile High Stadium,Mile High Stadium
Monster Park,Candlestick Park
Network Associates Coliseum,Oakland-Alameda County Coliseum
New Era Field,New Era Field
New Meadowlands Stadium,MetLife Stadium
Nissan Stadium,Nissan Stadium
NRG Stadium,NRG Stadium
O.Co Coliseum ,Oakland-Alameda County Coliseum
O.co Coliseum Oakland,Oakland-Alameda County Coliseum
Oakland-Alameda County Coliseum,Oakland-Alameda County Coliseum
Paul Brown Stadium,Paul Brown Stadium
Pontiac Silverdome,Pontiac Silverdome
Pro Player Stadium,Hard Rock Stadium
PSINet Stadium,M&T Bank Stadium
Qualcomm Stadium,Qualcomm Stadium
Qwest Field,CenturyLink Field
Ralph Wilson Stadium,New Era Field
Ravens Stadium,M&T Bank Stadium
Raymond James Stadium,Raymond James Stadium
RCA Dome,RCA Dome
Reliant Stadium,NRG Stadium
Rogers Centre,Rogers Centre
Seahawks Stadium,CenturyLink Field
Soldier Field,Soldier Field
Sports Authority Field at Mile High,Sports Authority Field at Mile High
StubHub Center,StubHub Center
Sun Devil Stadium,Sun Devil Stadium
Sun Life Stadium,Hard Rock Stadium
TCF Bank Stadium,TCF Bank Stadium
Texas Stadium,Texas Stadium
The Meadowlands,MetLife Stadium
Three Rivers Stadium,Three Rivers Stadium
Trans World Dome,Edward Jones Dome
Twickenham,Twickenham Stadium
Twickenham Stadium,Twickenham Stadium
U.S. Bank Stadium,U.S. Bank Stadium
University of Phoenix ,University of Phoenix Stadium
University of Phoenix Stadium,University of Phoenix Stadium
Veterans Stadium,Veterans Stadium
Wembley Stadium,Wembley Stadium
