pid,fgxp,fkicker,dist,good
10,XP,WR-0500,20,1
17,FG,MA-0700,43,1
34,FG,MA-0700,44,1
52,FG,MA-0700,24,1
64,FG,MA-0700,44,1
76,XP,MA-0700,20,1
86,XP,WR-0500,20,1
95,FG,MA-0700,48,1
99,XP,MA-0700,20,1
112,XP,WR-0500,20,1
123,XP,MA-0700,20,1
159,XP,WR-0500,20,1
207,XP,MH-3100,20,1
227,XP,PD-0200,20,1
241,FG,MH-3100,50,1
261,XP,MH-3100,20,1
277,FG,MH-3100,25,1
300,XP,MH-3100,20,1
324,XP,DA-0300,20,1
352,XP,DA-0300,20,1
357,XP,DA-0300,20,1
375,FG,DA-0300,33,1
387,FG,TS-1100,34,1
401,FG,TS-1100,38,1
416,FG,DA-0300,37,1
432,XP,DA-0300,20,1
440,XP,DA-0300,20,1
493,XP,RL-1300,20,1
510,XP,JH-0500,20,1
517,FG,JH-0500,52,0
541,FG,RL-1300,45,1
563,FG,JH-0500,23,1
583,FG,JH-0500,48,0
595,FG,RL-1300,42,1
618,FG,JH-0500,39,1
626,FG,RL-1300,42,1
634,XP,JH-0500,20,1
687,XP,MV-0100,20,1
710,XP,PS-0900,20,1
744,XP,MV-0100,20,1
756,XP,PS-0900,20,1
775,FG,MV-0100,23,1
780,XP,MV-0100,20,1
799,FG,MV-0100,40,1
828,XP,OM-0100,20,1
842,FG,OM-0100,48,1
851,FG,OM-0100,25,1
859,FG,OM-0100,30,1
877,FG,KH-1500,52,0
885,XP,OM-0100,20,1
969,FG,GA-0300,35,1
982,XP,PE-0100,20,1
990,FG,GA-0300,38,1
1019,FG,PE-0100,29,1
1027,FG,GA-0300,45,1
1040,FG,PE-0100,49,1
1052,XP,PE-0100,20,1
1063,XP,GA-0300,20,1
1087,XP,GA-0300,20,1
1104,XP,GA-0300,20,1
1117,XP,PE-0100,20,1
1129,FG,AV-0400,30,1
1168,XP,MG-1200,20,1
1178,XP,AV-0400,20,1
1198,XP,MG-1200,20,1
1203,FG,AV-0400,55,0
1235,XP,MG-1200,20,1
1307,XP,DB-3900,20,1
1351,FG,JH-0900,24,1
1362,FG,JH-0900,30,1
1416,FG,DB-3900,48,1
1435,FG,DB-3900,52,0
1492,XP,BD-0100,20,1
1510,XP,BD-0100,20,1
1573,FG,CB-1700,32,1
1590,XP,BD-0100,20,1
1610,XP,CB-1700,20,1
1700,FG,SJ-0300,41,0
1785,XP,SJ-0300,20,1
1812,FG,MS-5200,23,1
1820,XP,MS-5200,20,1
1866,FG,MS-5200,26,1
1875,FG,MS-5200,33,1
1884,FG,KB-2300,45,0
1963,XP,BC-2300,20,1
1965,XP,RC-2900,20,1
1980,FG,RC-2900,29,1
2022,FG,RC-2900,27,0
2054,FG,BC-2300,24,1
2076,XP,BC-2300,20,1
2091,FG,BC-2300,21,1
2102,XP,RC-2900,20,1
2148,XP,SC-0700,20,1
2166,FG,AD-0800,38,1
2178,FG,SC-0700,51,0
2185,FG,AD-0800,27,1
2218,FG,SC-0700,42,1
2230,FG,SC-0700,41,1
2246,XP,AD-0800,20,1
2273,FG,SC-0700,33,1
2277,FG,CH-2900,60,0
2289,XP,JE-0200,20,1
2305,XP,JW-3300,20,1
2315,FG,JE-0200,32,1
2326,XP,JW-3300,20,1
2338,XP,JE-0200,20,1
2349,XP,JW-3300,20,1
2362,FG,JE-0200,38,1
2366,XP,JW-3300,20,1
2380,XP,JW-3300,20,1
2389,XP,JE-0200,20,1
2408,FG,JE-0200,36,1
2439,FG,MH-3100,36,1
2451,XP,MH-3100,20,1
2466,XP,MH-3100,20,1
2476,XP,MS-5200,20,1
2504,FG,MH-3100,45,1
2517,FG,MH-3100,48,1
2549,FG,MH-3100,34,1
2563,XP,MS-5200,20,1
2581,XP,MS-5200,20,1
2589,FG,MS-5200,44,1
2599,FG,MH-3100,48,1
2609,XP,MH-3100,20,1
2618,XP,MS-5200,20,1
2691,FG,SC-0700,45,1
2698,XP,SC-0700,20,1
2707,XP,RL-1300,20,1
2716,FG,SC-0700,20,1
2729,FG,RL-1300,24,1
2740,XP,SC-0700,20,1
2811,XP,PD-0200,20,1
2823,XP,NR-0100,20,1
2833,XP,PD-0200,20,1
2841,FG,NR-0100,42,0
2886,FG,PD-0200,30,1
2912,XP,PD-0200,20,1
2968,XP,JE-0200,20,1
2973,FG,JE-0200,29,1
2987,FG,JE-0200,51,1
3001,XP,JE-0200,20,1
3014,XP,JE-0200,20,1
3036,XP,JE-0200,20,1
