uid,gid,player,team,details,pstat,gstat
1,3990,BS-4350,NE,Concussion,Did Not Participate In Practice,Out
2,3990,TF-0750,NE,Knee,Full Participation in Practice,Questionable
3,3990,TW-3250,NE,Quadricep,Limited Participation in Practice,Questionable
4,3990,LJ-1250,PIT,Concussion,Did Not Participate In Practice,Out
5,3991,JB-4550,CHI,Ankle,Limited Participation in Practice,Questionable
6,3991,JB-8200,CHI,Back,Did Not Participate In Practice,Probable
7,3991,AJ-0430,CHI,Calf,Limited Participation in Practice,Questionable
8,3991,EG-0350,CHI,Concussion,Full Participation in Practice,Probable
9,3991,JC-3100,CHI,Concussion,Full Participation in Practice,Probable
10,3991,MW-3250,CHI,Hamstring,Limited Participation in Practice,Questionable
11,3991,TP-2000,CHI,Hamstring,Did Not Participate In Practice,Out
12,3991,ER-0500,CHI,Hip,Limited Participation in Practice,Questionable
13,3991,SA-0100,CHI,Illness,Did Not Participate In Practice,Out
14,3991,SB-0250,GB,Ankle,Limited Participation in Practice,Questionable
15,3991,MB-5100,GB,Calf,Did Not Participate In Practice,Questionable
16,3991,RC-1500,GB,Shoulder,Limited Participation in Practice,Probable
17,3992,MM-4000,HOU,Calf,Did Not Participate In Practice,Out
18,3992,XS-0100,HOU,Calf,Did Not Participate In Practice,Out
19,3992,CT-1025,HOU,Concussion,Limited Participation in Practice,Out
20,3992,AF-0900,HOU,Groin,Did Not Participate In Practice,Out
21,3992,DB-4900,HOU,Hand,Full Participation in Practice,Probable
22,3992,BM-1450,HOU,Knee,Full Participation in Practice,Probable
23,3992,JC-3350,HOU,Knee,Full Participation in Practice,Probable
24,3992,LB-0150,HOU,Knee,Did Not Participate In Practice,Out
25,3992,CC-4550,HOU,Shoulder,Full Participation in Practice,Probable
26,3992,JM-1600,KC,Achilles,Full Participation in Practice,Probable
27,3992,EF-0050,KC,Ankle,Full Participation in Practice,Questionable
28,3992,RN-1300,KC,Ankle,Full Participation in Practice,Probable
29,3992,TK-0150,KC,Ankle,Full Participation in Practice,Probable
30,3992,DP-1450,KC,Back,Full Participation in Practice,Probable
31,3992,DT-0850,KC,Calf,Full Participation in Practice,Probable
32,3992,DH-1450,KC,Foot,Full Participation in Practice,Probable
33,3992,JA-2900,KC,Hip,Full Participation in Practice,Probable
34,3992,CC-3950,KC,Knee,Full Participation in Practice,Probable
35,3992,JA-1050,KC,Knee,Full Participation in Practice,Questionable
36,3992,AW-1650,KC,Shoulder,Full Participation in Practice,Probable
37,3993,KW-1550,CLE,Abdomen,Limited Participation in Practice,Questionable
38,3993,RT-1950,CLE,Ankle,,
39,3993,NO-0300,CLE,Back,Limited Participation in Practice,Questionable
40,3993,DJ-1850,CLE,Concussion,Full Participation in Practice,Probable
41,3993,PD-0450,CLE,Concussion,Full Participation in Practice,Probable
42,3993,CK-0850,CLE,Groin,Full Participation in Practice,Probable
43,3993,DB-3200,CLE,Hamstring,Limited Participation in Practice,Questionable
44,3993,JG-1250,CLE,Hip,Limited Participation in Practice,Questionable
45,3993,JH-0100,CLE,Hip,Full Participation in Practice,Probable
46,3993,BM-2850,CLE,Knee,Limited Participation in Practice,Questionable
47,3993,MM-4500,CLE,Rib,Full Participation in Practice,Probable
48,3993,JM-0850,CLE,Right Elbow,Full Participation in Practice,Probable
49,3993,MS-0550,CLE,Thumb,Full Participation in Practice,Probable
50,3993,JT-1600,CLE,,Full Participation in Practice,
51,3993,TP-2400,CLE,,Full Participation in Practice,
52,3993,JC-1000,NYJ,Back,Full Participation in Practice,Probable
53,3993,LW-1350,NYJ,Calf,Full Participation in Practice,Probable
54,3993,JK-1000,NYJ,Concussion,Full Participation in Practice,Probable
55,3993,AC-2400,NYJ,Hip,Full Participation in Practice,Probable
56,3993,GS-1050,NYJ,Jaw,Did Not Participate In Practice,Out
57,3993,BI-0100,NYJ,Knee,Full Participation in Practice,Probable
58,3993,CI-0300,NYJ,Knee,Full Participation in Practice,Probable
59,3993,EH-0600,NYJ,Knee,Full Participation in Practice,Probable
60,3993,LM-0550,NYJ,Knee,Full Participation in Practice,Probable
61,3993,SB-0900,NYJ,Knee,Full Participation in Practice,Probable
62,3993,WC-0200,NYJ,Knee,Full Participation in Practice,Probable
63,3993,DS-3031,NYJ,Ribs,Full Participation in Practice,Probable
64,3993,JJ-1100,NYJ,Shoulder,Full Participation in Practice,Probable
65,3994,MW-2300,BUF,Calf,Full Participation in Practice,Probable
66,3994,LM-1000,BUF,Hamstring,Full Participation in Practice,Probable
67,3994,SW-0450,BUF,Hamstring,Full Participation in Practice,Probable
68,3994,PH-0400,BUF,Hip,Full Participation in Practice,Probable
69,3994,RW-4050,BUF,Hip,Full Participation in Practice,Probable
70,3994,CC-2100,BUF,Knee,Full Participation in Practice,Probable
71,3994,CH-3350,BUF,Knee,Full Participation in Practice,Probable
72,3994,TS-3275,BUF,Knee,Did Not Participate In Practice,Out
73,3994,MG-1050,BUF,Ribs,Did Not Participate In Practice,Out
74,3994,RM-1400,IND,Achilles,Limited Participation in Practice,Questionable
75,3994,SP-1750,IND,Concussion,Full Participation in Practice,Probable
76,3994,VB-0050,IND,Hamstring,Did Not Participate In Practice,Out
77,3994,BW-0920,IND,Knee,Full Participation in Practice,Probable
78,3994,DS-2350,IND,Knee,Limited Participation in Practice,Questionable
79,3994,NI-0100,IND,Knee,Full Participation in Practice,Probable
80,3994,GT-0300,IND,Neck,Did Not Participate In Practice,Out
81,3994,DJ-0500,IND,Toe,Full Participation in Practice,Probable
82,3995,JF-3000,MIA,Concussion,Limited Participation in Practice,Doubtful
