player,fname,lname,pname,pos1,pos2,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp,nflid
AA-0025,Ameer,Abdullah,A.Abdullah,RB,,69,205,6/13/1993,4.5,24,42.5,130,3.95,6.79,30.000,8.625,54,Nebraska,Big Ten,2015,MIN,RB,31,4,2552374
AA-0050,Aaron,Adams,A.Adams,OL,,77,305,5/16/1989,5.26,22,28.5,101,4.61,7.61,0.000,0.000,0,Eastern Kentucky,Ohio Valley,2013,INA,INA,0,0,2541574
AA-0075,Andrew,Adams,A.Adams,DB,,71,203,10/28/1992,4.54,24,33,118,4.32,6.96,0.000,0.000,0,Connecticut,American Athletic,2016,TB,S,26,1,2556456
AA-0100,Anthony,Adams,A.Adams,DL,,72,300,6/18/1980,5.13,0,30.5,109,4.59,7.68,0.000,0.000,57,Penn State,Big Ten,2003,INA,INA,0,0,2505588
AA-0200,Al,Afalava,A.Afalava,DB,,71,212,1/20/1987,4.48,25,40,125,4.07,6.6,0.000,0.000,190,Oregon State,Pacific 10,2009,INA,INA,0,0,89682
AA-0300,Anthony,Alabi,A.Alabi,OL,,77,315,2/16/1981,5.12,18,32.5,105,4.6,7.64,0.000,0.000,162,Texas Christian,Mountain West (MWC),2006,INA,INA,0,0,2506497
AA-0400,Alex,Albright,A.Albright,LB,,77,260,1/29/1988,4.86,22,36,124,4.03,6.98,0.000,0.000,0,Boston College,Atlantic Coast (ACC),2011,INA,INA,0,0,2530939
AA-0500,Allen,Aldridge,A.Aldridge,LB,,73,254,5/30/1972,0,0,0,0,0,0,0.000,0.000,51,Houston,Southwest,1994,INA,INA,0,0,2499377
AA-0512,Adonis,Alexander,A.Alexander,DB,,75,197,11/7/1996,0,0,0,0,0,0,0.000,0.000,0,Virginia Tech,Atlantic Coast (ACC),2018,WAS,RCB,39,3,2561644
AA-0525,Alvester,Alexander,A.Alexander,RB,,70,206,10/17/1990,4.45,18,36,128,4.21,6.89,0.000,0.000,0,Wyoming,Mountain West (MWC),2012,INA,INA,0,0,2534844
AA-0534,Austin,Allen,A.Allen,QB,,72,210,8/21/1994,4.81,0,29.5,112,4.48,7.18,0.000,0.000,0,Arkansas,Southeastern (SEC),2018,INA,INA,0,0,2560953
AA-0543,Adrian,Amos,A.Amos,DB,,72,218,4/29/1993,4.39,21,35.5,122,4.03,7.09,32.250,9.111,142,Penn State,Big Ten,2015,CHI,S,38,1,2552385
AA-0547,Abdullah,Anderson,A.Anderson,DL,,75,300,1/24/1996,5.17,32,30,106,4.68,7.38,0.000,0.000,0,Bucknell,,2018,CHI,FUT,76,4,2561088
AA-0552,Alex,Anzalone,A.Anzalone,LB,,75,241,9/22/1994,4.63,16,30.5,115,0,0,32.125,9.125,76,Florida,Southeastern (SEC),2017,NO,SLB,47,2,2558163
AA-0554,Austin,Appleby,A.Appleby,QB,,76,240,6/4/1993,4.86,0,30,113,4.4,7.13,0.000,0.000,0,Florida,Southeastern (SEC),2017,INA,INA,0,0,2559133
AA-0557,Alex,Armah,A.Armah,RB,,74,253,5/17/1994,4.7,26,34.5,122,4.29,7,0.000,0.000,192,West Georgia,,2017,CAR,FB,40,1,2558833
AA-0562,Arik,Armstead,A.Armstead,DL,,79,292,11/15/1993,5.06,24,34,117,4.53,7.57,33.000,10.500,17,Oregon,Pacific 12,2015,SF,RDE,91,1,2552493
AA-0571,Ade,Aruna,A.Aruna,DL,,77,262,4/27/1994,4.6,18,38.5,128,4.48,7.44,34.000,10.625,218,Tulane,American Athletic,2018,MIN,RES,61,3,2560960
AA-0581,Antony,Auclair,A.Auclair,TE,,78,256,5/28/1993,4.9,22,33.5,117,4.37,7.3,0.000,0.000,0,Laval,,2017,TB,TE,82,2,2559044
AA-0590,Anthony,Averett,A.Averett,DB,,71,183,11/30/1994,4.36,13,31.5,130,4.4,6.93,30.250,8.500,118,Alabama,Southeastern (SEC),2018,BAL,LCB,28,3,2560963
AA-0600,Abdul-Karim,al-Jabbar,A.al-Jabbar,RB,,70,194,6/28/1974,0,22,33.5,0,0,0,0.000,0.000,80,UCLA,Pacific 10,1996,INA,INA,0,0,2499348
AA-0700,Andy,Alleman,A.Alleman,OL,,76,310,11/20/1983,5.07,30,30,106,4.38,7.43,0.000,0.000,88,Akron,Mid-American (MAC),2008,INA,INA,0,0,2495531
AA-0800,Anthony,Allen,A.Allen,RB,,73,223,8/6/1988,4.56,24,41.5,120,4.06,6.79,30.375,9.625,225,Georgia Tech,Atlantic Coast (ACC),2011,INA,INA,0,0,2508138
AA-0850,Antonio,Allen,A.Allen,LB,DB,74,202,9/23/1988,4.58,17,34,118,4.25,7.02,0.000,0.000,0,South Carolina,Southeastern (SEC),2012,INA,INA,0,0,2532786
AA-0900,Armando,Allen,A.Allen,RB,,68,190,4/30/1989,4.6,23,31.5,120,4.12,7.1,0.000,0.000,0,Notre Dame,FBS Independents,2011,INA,INA,0,0,2495257
AA-1000,Asher,Allen,A.Allen,DB,,70,190,1/22/1988,4.48,22,35,115,4.3,6.93,0.000,0.000,86,Georgia,Southeastern (SEC),2009,INA,INA,0,0,80626
AA-1100,Aundrae,Allison,A.Allison,WR,,72,198,4/20/1986,4.39,0,37,127,4.25,6.81,0.000,0.000,146,East Carolina,Conference USA (C-USA),2007,INA,INA,0,0,2495532
AA-1200,Ashley,Ambrose,A.Ambrose,DB,,71,190,9/17/1970,0,0,0,0,0,0,0.000,0.000,29,Mississippi Valley State,Southwestern Athletic (SWAC),1992,INA,INA,0,0,2499412
