pid,saf
1729,DR-3600
9301,CB-2800
9558,IR-0300
12720,JH-0200
15499,JP-3600
19642,JW-4700
26319,RM-1000
28266,BS-2800
36309,AF-0800
38726,MM-2300
60885,OR-0200
61695,TB-2200
65598,JT-1200
74379,JF-1800
86513,SP-0700
102136,FR-0100
111129,RM-3800
119726,JM-2500
131029,JA-2300
137224,RB-2300
138751,LG-0300
138759,KC-1700
142516,GW-1700
147072,JT-0900
160857,JG-3400
161593,JU-0100
163786,OH-0500
190553,PW-0900
194541,AO-0300
196136,GF-0200
196264,CR-0500
204517,DS-2700
209507,TB-3500
211053,SK-0500
214176,BS-2500
219561,SQ-0100
232895,KC-0500
236959,DW-2800
242634,JT-0900
245152,LF-0300
249077,AL-0100
250580,JP-3600
254651,DV-0300
259327,TW-0700
262520,AT-0400
267242,ER-0100
274356,MH-3700
274758,LA-0600
277456,LM-0400
279430,TB-3100
283558,MR-2300
287840,JD-1775
288478,TJ-1200
306522,GW-0300
308406,LM-0400
312460,AC-0700
318237,DF-1900
322899,CK-0300
329015,AC-0400
330533,AC-2500
331900,WS-0800
340180,KG-0700
346890,AO-0300
351414,CG-1800
353810,GW-1500
357338,JA-0900
361116,JM-2400
361736,CA-0800
366818,JA-0900
368345,JR-2200
370088,JH-2100
385847,AS-2400
389629,DM-0200
395702,BC-3100
397496,JA-0900
397895,JP-2000
398641,DH-4100
401066,TH-0200
403220,HT-0500
404840,KS-1700
413603,LD-0400
417097,ZD-0200
438005,BS-1900
443249,JB-0300
457637,TP-2300
466959,JT-0900
467126,QG-0400
468460,ES-0800
474257,MD-0300
477407,MW-1800
479721,GH-0300
485463,AH-0800
487400,AS-1500
489024,SP-0100
490014,RB-0700
495369,JH-0300
499372,KS-0800
505156,JA-0900
506951,SP-1500
507450,PH-0800
507626,RM-2000
507861,AA-1400
508488,JP-2900
512778,CC-0500
525248,JH-5500
525968,ED-1000
530832,KO-0400
532893,CK-0300
535048,CB-0800
541396,MA-0200
543224,SP-1100
545335,RM-2400
556199,KV-0100
563144,CC-5300
565534,TC-2000
566673,JM-2000
575522,CC-0200
578280,CL-0850
580126,ES-0800
583639,CW-0100
587869,LD-0150
593047,NS-0800
597594,JA-0100
598728,CR-0500
602543,NF-0100
603388,CT-1300
607841,CA-1300
608103,TM-1700
614034,DL-1200
615410,RS-2800
615591,NI-0100
619157,JG-0400
624920,TS-3500
636168,GA-0400
641066,SR-0670
649446,JG-0400
649927,JW-1100
650754,JB-3350
659722,KM-1950
670866,JL-0600
672294,MJ-0030
676799,FR-0200
686845,BM-0750
690199,DA-2050
690966,TM-2050
694012,DL-0450
695858,PS-0550
701080,DT-0150
701243,DT-0150
702896,CP-1300
703616,DH-4650
707943,CC-0200
710704,DH-2950
728268,LF-0450
730444,PK-0300
730836,MA-0300
731690,MB-3875
740482,BG-0250
743211,MF-1525
751672,NH-0075
754160,LF-0450
762751,BW-0150
763428,KC-0900
782358,HR-0100
782877,EL-0125
789441,MB-5100
794639,MD-0100
802508,TC-2150
805207,MB-0650
817479,EG-0350
