gid,seas,wk,day,date,v,h,stad,surf
1,2000,1,SUN,9/3/2000,SF,ATL,Georgia Dome,AstroTurf
2,2000,1,SUN,9/3/2000,JAC,CLE,Cleveland Browns Stadium,Grass
3,2000,1,SUN,9/3/2000,PHI,DAL,Texas Stadium,AstroTurf
4,2000,1,SUN,9/3/2000,NYJ,GB,Lambeau Field,Grass
5,2000,1,SUN,9/3/2000,IND,KC,Arrowhead Stadium,Grass
6,2000,1,SUN,9/3/2000,SEA,MIA,Pro Player Stadium,Grass
7,2000,1,SUN,9/3/2000,CHI,MIN,Metrodome,AstroTurf
8,2000,1,SUN,9/3/2000,TB,NE,Foxboro Stadium,Grass
9,2000,1,SUN,9/3/2000,DET,NO,Louisiana Superdome,AstroTurf
10,2000,1,SUN,9/3/2000,ARI,NYG,Giants Stadium,Grass
11,2000,1,SUN,9/3/2000,SD,OAK,Network Associates Coliseum,Grass
12,2000,1,SUN,9/3/2000,BAL,PIT,Three Rivers Stadium,AstroTurf
13,2000,1,SUN,9/3/2000,CAR,WAS,FedEx Field,Grass
14,2000,1,SN,9/3/2000,TEN,BUF,Ralph Wilson Stadium,AstroTurf
15,2000,1,MN,9/4/2000,DEN,STL,Trans World Dome,AstroTurf
16,2000,2,SUN,9/10/2000,JAC,BAL,PSINet Stadium,Grass
17,2000,2,SUN,9/10/2000,GB,BUF,Ralph Wilson Stadium,AstroTurf
18,2000,2,SUN,9/10/2000,CLE,CIN,Paul Brown Stadium,Grass
19,2000,2,SUN,9/10/2000,ATL,DEN,Mile High Stadium,Grass
20,2000,2,SUN,9/10/2000,WAS,DET,Pontiac Silverdome,AstroTurf
21,2000,2,SUN,9/10/2000,OAK,IND,RCA Dome,AstroTurf
22,2000,2,SUN,9/10/2000,MIA,MIN,Metrodome,AstroTurf
23,2000,2,SUN,9/10/2000,NYG,PHI,Veterans Stadium,AstroTurf
24,2000,2,SUN,9/10/2000,NO,SD,Qualcomm Stadium,Grass
25,2000,2,SUN,9/10/2000,CAR,SF,3COM Park,Grass
26,2000,2,SUN,9/10/2000,STL,SEA,Husky Stadium,FieldTurf
27,2000,2,SUN,9/10/2000,CHI,TB,Raymond James Stadium,Grass
28,2000,2,SUN,9/10/2000,KC,TEN,Adelphia Coliseum,Grass
29,2000,2,SN,9/10/2000,DAL,ARI,Sun Devil Stadium,Grass
30,2000,2,MN,9/11/2000,NE,NYJ,The Meadowlands,Grass
31,2000,3,SUN,9/17/2000,ATL,CAR,Ericsson Stadium,Grass
32,2000,3,SUN,9/17/2000,NYG,CHI,Soldier Field,Grass
33,2000,3,SUN,9/17/2000,PIT,CLE,Cleveland Browns Stadium,Grass
34,2000,3,SUN,9/17/2000,TB,DET,Pontiac Silverdome,AstroTurf
35,2000,3,SUN,9/17/2000,PHI,GB,Lambeau Field,Grass
36,2000,3,SUN,9/17/2000,CIN,JAC,Alltel Stadium,Grass
37,2000,3,SUN,9/17/2000,SD,KC,Arrowhead Stadium,AstroTurf
38,2000,3,SUN,9/17/2000,MIN,NE,Foxboro Stadium,Grass
39,2000,3,SUN,9/17/2000,BUF,NYJ,Giants Stadium,Grass
40,2000,3,SUN,9/17/2000,DEN,OAK,Network Associates Coliseum,Grass
41,2000,3,SUN,9/17/2000,NO,SEA,Husky Stadium,FieldTurf
42,2000,3,SUN,9/17/2000,SF,STL,Trans World Dome,AstroTurf
43,2000,3,SN,9/17/2000,BAL,MIA,Pro Player Stadium,Grass
44,2000,3,MN,9/18/2000,DAL,WAS,FedEx Field,Grass
45,2000,4,SUN,9/24/2000,GB,ARI,Sun Devil Stadium,Grass
46,2000,4,SUN,9/24/2000,STL,ATL,Georgia Dome,AstroTurf
47,2000,4,SUN,9/24/2000,CIN,BAL,PSINet Stadium,Grass
48,2000,4,SUN,9/24/2000,DET,CHI,Soldier Field,Grass
49,2000,4,SUN,9/24/2000,SF,DAL,Texas Stadium,AstroTurf
50,2000,4,SUN,9/24/2000,KC,DEN,Mile High Stadium,Grass
51,2000,4,SUN,9/24/2000,NE,MIA,Pro Player Stadium,Grass
52,2000,4,SUN,9/24/2000,PHI,NO,Louisiana Superdome,AstroTurf
53,2000,4,SUN,9/24/2000,CLE,OAK,Network Associates Coliseum,Grass
54,2000,4,SUN,9/24/2000,TEN,PIT,Three Rivers Stadium,AstroTurf
55,2000,4,SUN,9/24/2000,SEA,SD,Qualcomm Stadium,Grass
56,2000,4,SUN,9/24/2000,NYJ,TB,Raymond James Stadium,Grass
57,2000,4,SN,9/24/2000,WAS,NYG,Giants Stadium,Grass
58,2000,4,MN,9/25/2000,JAC,IND,RCA Dome,AstroTurf
59,2000,5,SUN,10/1/2000,IND,BUF,Ralph Wilson Stadium,AstroTurf
60,2000,5,SUN,10/1/2000,DAL,CAR,Ericsson Stadium,Grass
61,2000,5,SUN,10/1/2000,MIA,CIN,Paul Brown Stadium,Grass
62,2000,5,SUN,10/1/2000,BAL,CLE,Cleveland Browns Stadium,Grass
63,2000,5,SUN,10/1/2000,NE,DEN,Mile High Stadium,Grass
64,2000,5,SUN,10/1/2000,MIN,DET,Pontiac Silverdome,AstroTurf
65,2000,5,SUN,10/1/2000,CHI,GB,Lambeau Field,Grass
66,2000,5,SUN,10/1/2000,PIT,JAC,Alltel Stadium,Grass
67,2000,5,SUN,10/1/2000,ARI,SF,3COM Park,Grass
68,2000,5,SUN,10/1/2000,SD,STL,Trans World Dome,AstroTurf
69,2000,5,SUN,10/1/2000,NYG,TEN,Adelphia Coliseum,Grass
70,2000,5,SUN,10/1/2000,TB,WAS,FedEx Field,Grass
71,2000,5,SN,10/1/2000,ATL,PHI,Veterans Stadium,AstroTurf
72,2000,5,MN,10/2/2000,SEA,KC,Arrowhead Stadium,Grass
73,2000,6,SUN,10/8/2000,CLE,ARI,Sun Devil Stadium,Grass
74,2000,6,SUN,10/8/2000,NYG,ATL,Georgia Dome,AstroTurf
75,2000,6,SUN,10/8/2000,SEA,CAR,Ericsson Stadium,Grass
76,2000,6,SUN,10/8/2000,NO,CHI,Soldier Field,Grass
77,2000,6,SUN,10/8/2000,TEN,CIN,Paul Brown Stadium,Grass
78,2000,6,SUN,10/8/2000,GB,DET,Pontiac Silverdome,AstroTurf
79,2000,6,SUN,10/8/2000,BUF,MIA,Pro Player Stadium,Grass
80,2000,6,SUN,10/8/2000,IND,NE,Foxboro Stadium,Grass
81,2000,6,SUN,10/8/2000,PIT,NYJ,The Meadowlands,Grass
82,2000,6,SUN,10/8/2000,WAS,PHI,Veterans Stadium,AstroTurf
83,2000,6,SUN,10/8/2000,DEN,SD,Qualcomm Stadium,Grass
84,2000,6,SUN,10/8/2000,OAK,SF,3COM Park,Grass
85,2000,6,SN,10/8/2000,BAL,JAC,Alltel Stadium,Grass
86,2000,6,MN,10/9/2000,TB,MIN,Metrodome,AstroTurf
87,2000,7,SUN,10/15/2000,PHI,ARI,Sun Devil Stadium,Grass
88,2000,7,SUN,10/15/2000,SD,BUF,Ralph Wilson Stadium,AstroTurf
89,2000,7,SUN,10/15/2000,CLE,DEN,Mile High Stadium,Grass
90,2000,7,SUN,10/15/2000,SF,GB,Lambeau Field,Grass
