Season,Date,Team,Opp,Result,Name,Distance,Good,Block,Playoffs
1960,12/18/1960,WAS,PHI,L 28-38,Bob Khayat,38,0,0,0
1960,12/18/1960,WAS,PHI,L 28-38,Bob Khayat,37,0,0,0
1960,12/18/1960,STL,PIT,W 38-7,Gerry Perry,16,1,0,0
1960,12/18/1960,SF,BAL,W 34-10,Tommy Davis,37,1,0,0
1960,12/18/1960,SF,BAL,W 34-10,Tommy Davis,37,0,0,0
1960,12/18/1960,SF,BAL,W 34-10,Tommy Davis,36,1,0,0
1960,12/18/1960,PHI,WAS,W 38-28,Bobby Walston,23,1,0,0
1960,12/18/1960,NYT,LAC,L 43-50,Bill Shockley,40,0,0,0
1960,12/18/1960,NYG,CLE,L 34-48,Pat Summerall,51,0,0,0
1960,12/18/1960,NYG,CLE,L 34-48,Pat Summerall,39,0,0,0
1960,12/18/1960,NYG,CLE,L 34-48,Pat Summerall,31,1,0,0
1960,12/18/1960,NYG,CLE,L 34-48,Pat Summerall,12,1,0,0
1960,12/18/1960,LAC,NYT,W 50-43,Ben Agajanian,41,1,0,0
1960,12/18/1960,LAC,NYT,W 50-43,Ben Agajanian,37,1,0,0
1960,12/18/1960,LAC,NYT,W 50-43,Ben Agajanian,27,1,0,0
1960,12/18/1960,HOU,BOS,W 37-21,George Blanda,32,1,0,0
1960,12/18/1960,HOU,BOS,W 37-21,George Blanda,26,1,0,0
1960,12/18/1960,HOU,BOS,W 37-21,George Blanda,10,1,0,0
1960,12/18/1960,DTX,BUF,W 24-7,Jack Spikes,46,0,0,0
1960,12/18/1960,DTX,BUF,W 24-7,Jack Spikes,45,0,0,0
1960,12/18/1960,DTX,BUF,W 24-7,Jack Spikes,12,1,0,0
1960,12/18/1960,CLE,NYG,W 48-34,Sam Baker,47,0,0,0
1960,12/18/1960,BUF,DTX,L 7-24,Tommy O'Connell,25,0,1,0
1960,12/18/1960,BUF,DTX,L 7-24,Mack Yoho,44,0,0,0
1960,12/18/1960,BUF,DTX,L 7-24,Mack Yoho,23,0,1,0
1960,12/18/1960,BAL,SF,L 10-34,Steve Myhra,35,1,0,0
1960,12/17/1960,RAM,GB,L 21-35,Danny Villanueva,35,0,0,0
1960,12/17/1960,OAK,DEN,W 48-10,Larry Barnes,52,0,0,0
1960,12/17/1960,OAK,DEN,W 48-10,Larry Barnes,40,0,0,0
1960,12/17/1960,OAK,DEN,W 48-10,Larry Barnes,33,0,0,0
1960,12/17/1960,OAK,DEN,W 48-10,Larry Barnes,28,1,0,0
1960,12/17/1960,OAK,DEN,W 48-10,Larry Barnes,18,1,0,0
1960,12/17/1960,GB,RAM,W 35-21,Paul Hornung,41,0,0,0
1960,12/17/1960,GB,RAM,W 35-21,Paul Hornung,32,0,0,0
1960,12/17/1960,DEN,OAK,L 10-48,Gene Mingo,37,1,0,0
1960,12/11/1960,WAS,NYG,L 3-17,Bob Khayat,15,1,0,0
1960,12/11/1960,RAM,BAL,W 10-3,Lou Michaels,50,0,0,0
1960,12/11/1960,RAM,BAL,W 10-3,Danny Villanueva,32,1,0,0
1960,12/11/1960,RAM,BAL,W 10-3,Danny Villanueva,32,0,0,0
1960,12/11/1960,NYT,OAK,W 31-28,Bill Shockley,46,0,0,0
1960,12/11/1960,NYT,OAK,W 31-28,Bill Shockley,31,0,1,0
1960,12/11/1960,NYT,OAK,W 31-28,Bill Shockley,29,0,0,0
1960,12/11/1960,NYT,OAK,W 31-28,Bill Shockley,27,1,0,0
1960,12/11/1960,NYG,WAS,W 17-3,Pat Summerall,31,0,0,0
1960,12/11/1960,NYG,WAS,W 17-3,Pat Summerall,17,1,0,0
1960,12/11/1960,HOU,BUF,W 31-23,George Blanda,53,1,0,0
1960,12/11/1960,DTX,BOS,W 34-0,Jack Spikes,49,0,0,0
1960,12/11/1960,DTX,BOS,W 34-0,Jack Spikes,46,1,0,0
1960,12/11/1960,DTX,BOS,W 34-0,Jack Spikes,42,0,0,0
1960,12/11/1960,DTX,BOS,W 34-0,Jack Spikes,28,0,0,0
1960,12/11/1960,DTX,BOS,W 34-0,Jack Spikes,24,1,0,0
1960,12/11/1960,DET,DAL,W 23-14,Jim Martin,25,0,0,0
1960,12/11/1960,CLE,CHI,W 42-0,Sam Baker,47,0,0,0
1960,12/11/1960,CHI,CLE,L 0-42,John Aveni,46,0,0,0
1960,12/11/1960,BUF,HOU,L 23-31,Mack Yoho,48,1,0,0
1960,12/11/1960,BOS,DTX,L 0-34,Walt Cudzik,48,0,0,0
1960,12/11/1960,BAL,RAM,L 3-10,Steve Myhra,9,1,0,0
1960,12/11/1960,BAL,RAM,L 3-10,Steve Myhra,9,0,0,0
1960,12/10/1960,LAC,DEN,W 41-33,Ben Agajanian,40,1,0,0
1960,12/10/1960,LAC,DEN,W 41-33,Ben Agajanian,23,1,0,0
1960,12/10/1960,GB,SF,W 13-0,Paul Hornung,38,1,0,0
1960,12/10/1960,GB,SF,W 13-0,Paul Hornung,30,0,0,0
1960,12/10/1960,GB,SF,W 13-0,Paul Hornung,23,1,0,0
1960,12/10/1960,DEN,LAC,L 33-41,Gene Mingo,49,0,0,0
1960,12/10/1960,DEN,LAC,L 33-41,Gene Mingo,41,1,0,0
1960,12/10/1960,DEN,LAC,L 33-41,Gene Mingo,28,1,0,0
1960,12/10/1960,DEN,LAC,L 33-41,Gene Mingo,13,1,0,0
1960,12/10/1960,DEN,LAC,L 33-41,Gene Mingo,12,1,0,0
1960,12/4/1960,WAS,CLE,L 16-27,Bob Khayat,37,1,0,0
1960,12/4/1960,WAS,CLE,L 16-27,Bob Khayat,35,1,0,0
1960,12/4/1960,WAS,CLE,L 16-27,Bob Khayat,31,1,0,0
